Gene,Average Log FC,p value,Adjusted                p value ,Subluster
AT3G60245,0.68,1.56438E-19,2.06685E-15,1
AT3G14600,0.68,8.72542E-19,1.1528E-14,1
AT5G64140,0.68,2.43047E-17,3.21114E-13,1
AT5G02870,0.67,3.07902E-17,4.068E-13,1
AT1G08360,0.67,1.06335E-21,1.40489E-17,1
AT3G53890,0.67,6.22802E-16,8.22846E-12,1
AT1G25260,0.67,1.79472E-13,2.37118E-09,1
AT5G10360,0.67,2.39399E-20,3.16294E-16,1
AT3G23390,0.67,1.5415E-20,2.03663E-16,1
AT5G52470,0.67,1.57834E-13,2.0853E-09,1
AT3G28900,0.67,9.81017E-14,1.29612E-09,1
AT2G34480,0.67,4.67802E-26,6.18059E-22,1
AT5G12940,0.67,2.73246E-07,0.00361013,1
AT2G27840,0.67,4.81702E-11,6.36424E-07,1
AT3G62870,0.67,1.46052E-22,1.92963E-18,1
AT3G17160,0.66,6.33222E-11,8.36612E-07,1
AT2G21580,0.66,3.20707E-19,4.23718E-15,1
AT3G05060,0.66,8.8072E-13,1.16361E-08,1
AT3G05590,0.66,5.34161E-18,7.05733E-14,1
AT4G17520,0.66,2.35544E-11,3.112E-07,1
AT3G11830,0.66,1.96226E-10,2.59254E-06,1
AT3G61110,0.66,7.03346E-17,9.29261E-13,1
AT1G04270,0.66,2.777E-21,3.66897E-17,1
AT1G30880,0.65,1.98269E-13,2.61953E-09,1
AT1G57860,0.65,5.62891E-13,7.43691E-09,1
AT3G20000,0.65,2.04539E-16,2.70237E-12,1
AT3G15820,0.65,5.95427E-11,7.86679E-07,1
AT4G00730,0.64,1.45092E-14,1.91695E-10,1
AT3G14240,0.64,2.01206E-09,2.65833E-05,1
AT3G06680,0.64,9.06423E-10,1.19757E-05,1
AT5G57290,0.64,1.1728E-23,1.5495E-19,1
AT3G11510,0.64,2.20433E-21,2.91237E-17,1
AT4G23750,0.63,4.5605E-07,0.00602533,1
AT1G02780,0.63,2.66475E-26,3.52067E-22,1
AT1G17880,0.63,6.65163E-19,8.78813E-15,1
AT1G49760,0.63,1.5926E-09,2.10414E-05,1
AT5G37600,0.63,2.35699E-09,3.11405E-05,1
AT2G03505,0.63,1.23454E-13,1.63108E-09,1
AT1G52300,0.63,1.75836E-22,2.32315E-18,1
AT3G10090,0.63,2.70447E-10,3.57315E-06,1
AT3G07110,0.63,5.42573E-15,7.16848E-11,1
AT3G16780,0.63,2.76016E-09,3.64673E-05,1
AT1G70600,0.63,9.45271E-24,1.24889E-19,1
AT5G67260,0.62,7.37293E-11,9.74111E-07,1
AT3G06040,0.62,4.18366E-12,5.52745E-08,1
AT4G26840,0.62,4.27721E-14,5.65105E-10,1
AT1G14810,0.62,1.31272E-08,0.000173437,1
AT5G47930,0.61,1.02834E-19,1.35864E-15,1
AT5G15520,0.61,3.13946E-10,4.14785E-06,1
AT5G14800,0.61,2.58404E-10,3.41403E-06,1
AT1G29250,0.61,3.7512E-09,4.95609E-05,1
AT3G13580,0.61,7.16083E-13,9.46088E-09,1
AT3G52590,0.61,1.88201E-22,2.48651E-18,1
AT2G39390,0.61,6.45695E-13,8.53092E-09,1
AT3G58610,0.61,2.9085E-11,3.84271E-07,1
AT3G58700,0.61,8.01014E-10,1.0583E-05,1
AT1G52740,0.61,9.86508E-15,1.30337E-10,1
AT1G33110,0.61,5.95712E-11,7.87054E-07,1
AT3G55280,0.61,1.37561E-12,1.81746E-08,1
AT5G23740,0.61,2.33882E-15,3.09004E-11,1
AT4G23100,0.61,2.07731E-09,2.74454E-05,1
AT4G25740,0.60,3.43171E-18,4.53397E-14,1
AT2G39460,0.60,8.17864E-15,1.08056E-10,1
AT4G29840,0.60,4.16733E-10,5.50588E-06,1
AT5G47210,0.60,1.4702E-14,1.94243E-10,1
AT4G09800,0.60,3.43455E-17,4.53772E-13,1
AT1G04480,0.60,6.69345E-16,8.84339E-12,1
AT5G18790,0.60,9.1288E-10,1.2061E-05,1
AT3G53020,0.60,1.02045E-22,1.34822E-18,1
AT5G62190,0.60,1.15086E-09,1.52051E-05,1
AT4G00810,0.60,7.69544E-12,1.01672E-07,1
AT1G23820,0.60,8.30302E-10,1.097E-05,1
AT3G04840,0.59,6.83156E-17,9.02586E-13,1
AT3G18740,0.59,6.59903E-17,8.71864E-13,1
AT4G15910,0.59,3.86347E-15,5.10441E-11,1
AT4G26110,0.59,2.55134E-12,3.37083E-08,1
AT4G13850,0.59,1.99967E-10,2.64197E-06,1
AT1G80750,0.59,2.84206E-12,3.75493E-08,1
AT3G04400,0.59,2.8907E-32,3.81919E-28,1
AT5G02960,0.59,2.16932E-21,2.86611E-17,1
AT2G37410,0.59,2.7174E-13,3.59023E-09,1
AT1G56045,0.59,4.53822E-15,5.99589E-11,1
AT3G59540,0.59,2.09916E-16,2.7734E-12,1
AT1G33120,0.59,6.76882E-17,8.94297E-13,1
AT3G12120,0.59,2.40444E-10,3.17675E-06,1
AT2G20060,0.58,8.98999E-10,1.18776E-05,1
AT2G31610,0.58,6.87116E-14,9.07817E-10,1
AT3G47370,0.58,6.88212E-10,9.09266E-06,1
AT1G74270,0.58,1.09215E-10,1.44295E-06,1
AT5G46430,0.58,3.88263E-19,5.12973E-15,1
AT5G39740,0.58,2.6526E-16,3.50462E-12,1
AT2G20610,0.58,2.49428E-07,0.003295449,1
AT5G56670,0.58,5.62559E-15,7.43253E-11,1
AT5G04600,0.58,1.10434E-11,1.45905E-07,1
AT5G52920,0.58,1.32299E-08,0.000174794,1
AT5G27120,0.58,4.248E-07,0.005612458,1
AT3G53430,0.58,2.39958E-13,3.17033E-09,1
AT1G07830,0.57,6.21974E-10,8.21753E-06,1
AT1G14320,0.57,7.4241E-19,9.80871E-15,1
AT3G08520,0.57,5.21771E-09,6.89364E-05,1
AT3G52580,0.56,1.248E-11,1.64886E-07,1
AT4G31985,0.56,1.72635E-12,2.28086E-08,1
AT2G37270,0.56,1.90216E-13,2.51313E-09,1
AT5G14520,0.56,2.45194E-08,0.000323951,1
AT3G06700,0.56,3.2315E-12,4.26946E-08,1
AT3G12145,0.55,2.64311E-12,3.49208E-08,1
AT5G02610,0.55,3.81635E-10,5.04216E-06,1
AT2G05220,0.55,8.19319E-19,1.08248E-14,1
AT4G22810,0.55,2.24454E-09,2.96549E-05,1
AT3G57490,0.55,7.95488E-10,1.051E-05,1
AT3G18190,0.55,2.73801E-09,3.61746E-05,1
AT1G02870,0.55,5.12212E-09,6.76735E-05,1
AT5G62440,0.55,1.8387E-09,2.4293E-05,1
AT3G17465,0.54,7.84546E-11,1.03654E-06,1
AT2G37340,0.54,7.31836E-09,9.66901E-05,1
AT4G34555,0.54,2.77133E-08,0.000366149,1
AT1G70310,0.54,3.42807E-08,0.000452916,1
AT4G29390,0.54,5.77165E-12,7.6255E-08,1
AT5G05640,0.54,1.30412E-07,0.001723001,1
AT5G15530,0.54,1.55866E-08,0.00020593,1
AT1G33140,0.54,5.06014E-16,6.68545E-12,1
AT1G72040,0.53,1.21511E-08,0.00016054,1
AT1G23860,0.53,2.54378E-08,0.000336084,1
AT2G15000,0.53,1.21018E-07,0.001598894,1
AT5G53990,0.53,1.21581E-07,0.001606324,1
AT5G14000,0.52,1.60002E-07,0.002113949,1
AT2G17360,0.52,1.45164E-09,1.9179E-05,1
AT5G35530,0.52,1.56504E-12,2.06773E-08,1
AT2G16780,0.52,7.04981E-08,0.000931421,1
AT4G10480,0.52,4.10457E-09,5.42296E-05,1
AT1G63660,0.52,1.26786E-08,0.00016751,1
AT5G60030,0.52,1.68966E-08,0.000223238,1
AT3G23940,0.52,2.76803E-08,0.000365713,1
AT3G53190,0.52,7.59743E-09,0.000100377,1
AT2G43650,0.52,4.03093E-08,0.000532566,1
AT1G04870,0.52,8.06213E-09,0.000106517,1
AT5G61020,0.52,2.79969E-08,0.000369896,1
AT1G50920,0.52,3.83501E-08,0.000506681,1
AT4G29360,0.52,2.58716E-09,3.41816E-05,1
AT2G31410,0.51,8.47706E-08,0.001119989,1
AT2G04390,0.51,1.6441E-07,0.00217218,1
AT1G74050,0.50,2.62045E-12,3.46214E-08,1
AT2G44860,0.50,2.07746E-07,0.00274474,1
AT1G20430,0.50,5.20876E-09,6.88182E-05,1
AT1G54580,0.50,2.15426E-09,2.84621E-05,1
AT1G04520,0.50,4.84329E-09,6.39895E-05,1
AT4G01150,0.50,1.54546E-07,0.002041863,1
AT3G48560,0.49,1.30169E-07,0.001719796,1
AT2G27000,0.49,1.59812E-08,0.000211144,1
AT4G33865,0.49,3.95043E-11,5.21931E-07,1
AT4G14320,0.49,6.21688E-09,8.21374E-05,1
AT3G07050,0.49,3.58361E-07,0.004734663,1
AT5G49210,0.49,1.4658E-07,0.001936614,1
AT2G46280,0.49,7.1816E-12,9.48833E-08,1
AT1G31970,0.49,1.59567E-07,0.002108205,1
AT3G54920,0.49,2.40543E-09,3.17806E-05,1
AT4G27000,0.49,4.78056E-08,0.000631608,1
AT1G57720,0.48,7.70863E-10,1.01846E-05,1
AT3G07030,0.48,4.67799E-09,6.18056E-05,1
AT1G73590,0.48,2.3602E-07,0.003118301,1
AT4G11820,0.48,4.44339E-07,0.005870601,1
AT3G13920,0.48,1.18767E-10,1.56915E-06,1
AT2G40360,0.47,3.75444E-07,0.004960372,1
AT5G12410,0.47,6.36736E-08,0.000841256,1
AT5G50810,0.47,8.78356E-08,0.001160484,1
AT5G60390,0.47,8.80143E-14,1.16284E-09,1
AT5G64080,0.47,1.40124E-08,0.000185131,1
AT1G15390,0.47,2.8038E-09,3.70437E-05,1
AT3G12110,0.47,5.4884E-08,0.000725128,1
AT1G34030,0.47,2.72006E-10,3.59374E-06,1
AT3G53870,0.47,3.21159E-11,4.24316E-07,1
AT1G52980,0.46,5.97568E-07,0.007895074,1
AT5G41520,0.45,3.53113E-13,4.66533E-09,1
AT1G76010,0.45,1.05902E-08,0.000139918,1
AT1G13690,0.45,2.21283E-07,0.00292359,1
AT2G40590,0.44,1.2193E-09,1.61094E-05,1
AT5G42820,0.44,7.37555E-07,0.009744574,1
AT5G62290,0.44,4.16007E-07,0.005496279,1
AT2G19740,0.44,5.90109E-07,0.007796522,1
AT1G07770,0.44,6.62595E-16,8.75421E-12,1
AT4G24830,0.44,6.4855E-07,0.008568648,1
AT3G09700,0.43,1.82585E-07,0.002412314,1
AT1G11240,0.43,2.16423E-08,0.000285938,1
AT3G51800,0.43,2.7707E-07,0.003660652,1
AT5G10160,0.43,1.18453E-07,0.001564997,1
AT5G43020,0.43,1.23108E-08,0.000162651,1
AT3G14540,0.42,6.58147E-10,8.69543E-06,1
AT1G49600,0.41,2.51246E-08,0.000331946,1
AT5G19510,0.41,1.3995E-13,1.84902E-09,1
AT3G48870,0.40,2.516E-07,0.003324143,1
AT3G16300,0.40,7.06127E-08,0.000932935,1
AT1G07930,0.39,2.20164E-07,0.002908802,1
AT2G16600,0.39,1.02852E-10,1.35888E-06,1
AT5G08565,0.39,4.32593E-07,0.005715425,1
AT2G46680,0.39,1.80572E-08,0.000238572,1
AT4G33250,0.39,9.82563E-08,0.001298162,1
AT1G30230,0.39,4.70933E-11,6.22197E-07,1
AT3G62030,0.39,3.39375E-07,0.004483821,1
AT3G55010,0.38,5.36343E-07,0.007086165,1
AT3G63200,0.37,2.85307E-11,3.76948E-07,1
AT1G25510,0.37,7.55548E-07,0.0099823,1
AT2G35470,0.36,3.04148E-07,0.004018408,1
AT1G70895,0.36,4.90972E-07,0.00648672,1
AT4G17460,0.36,8.67711E-08,0.00114642,1
AT2G14460,0.36,1.66605E-07,0.002201189,1
AT3G15790,0.35,5.89843E-08,0.0007793,1
AT5G41315,0.33,1.29701E-09,1.7136E-05,1
AT1G74720,0.27,1.02598E-07,0.001355521,1
AT4G34970,4.08,2.46346E-41,3.25473E-37,2
AT1G13620,3.34,9.38234E-27,1.23959E-22,2
AT1G04250,2.99,6.89491E-38,9.10955E-34,2
AT1G78520,2.11,5.55356E-28,7.33736E-24,2
AT1G04610,2.05,1.03027E-29,1.3612E-25,2
AT5G57420,1.94,4.04965E-24,5.35039E-20,2
AT2G04025,1.90,1.43801E-29,1.8999E-25,2
AT1G53708,1.79,4.04986E-16,5.35068E-12,2
AT1G17400,1.76,1.28223E-29,1.69408E-25,2
AT5G09960,1.71,3.97749E-34,5.25506E-30,2
AT3G22840,1.68,5.55508E-07,0.007339372,2
AT4G16190,1.65,5.15548E-12,6.81142E-08,2
AT3G53040,1.63,2.32664E-14,3.07396E-10,2
AT2G39700,1.62,2.66628E-22,3.5227E-18,2
AT3G46440,1.62,2.59992E-36,3.43501E-32,2
AT1G77330,1.60,3.38798E-16,4.4762E-12,2
AT1G07590,1.59,2.5396E-11,3.35532E-07,2
AT4G27520,1.56,1.48789E-24,1.9658E-20,2
AT5G66280,1.53,1.14155E-15,1.50822E-11,2
AT1G28130,1.53,2.46404E-17,3.25548E-13,2
AT2G28870,1.50,4.89263E-26,6.46415E-22,2
AT5G65020,1.50,3.1424E-42,4.15174E-38,2
AT1G26680,1.47,6.56466E-21,8.67323E-17,2
AT2G38400,1.41,7.20554E-16,9.51996E-12,2
AT4G37410,1.40,2.92511E-28,3.86466E-24,2
AT3G21270,1.39,1.06578E-15,1.4081E-11,2
AT1G10530,1.37,1.11313E-17,1.47067E-13,2
AT2G21970,1.35,3.46285E-24,4.57511E-20,2
AT1G23040,1.34,4.76479E-21,6.29524E-17,2
AT5G39820,1.32,1.45756E-15,1.92573E-11,2
AT1G09570,1.31,3.22677E-28,4.26321E-24,2
AT5G22630,1.31,1.87676E-15,2.47957E-11,2
AT1G03220,1.27,1.23577E-18,1.6327E-14,2
AT3G44220,1.27,2.23626E-23,2.95454E-19,2
AT5G64260,1.27,1.04594E-14,1.3819E-10,2
AT3G55880,1.27,2.24208E-15,2.96224E-11,2
AT5G58580,1.25,3.80794E-24,5.03105E-20,2
AT4G01610,1.24,3.12008E-30,4.12224E-26,2
AT2G38120,1.22,4.33378E-25,5.72579E-21,2
AT5G02070,1.21,4.07061E-21,5.37809E-17,2
AT1G32700,1.20,1.56877E-20,2.07265E-16,2
AT2G46990,1.19,2.16292E-10,2.85765E-06,2
AT4G37940,1.19,5.66297E-19,7.48192E-15,2
AT3G14990,1.19,1.08389E-16,1.43204E-12,2
AT5G59790,1.18,1.31728E-20,1.74039E-16,2
AT3G01840,1.18,5.01854E-19,6.63049E-15,2
AT2G36460,1.16,1.33408E-18,1.76259E-14,2
AT1G75800,1.15,1.40709E-19,1.85905E-15,2
AT2G22170,1.15,1.01176E-26,1.33673E-22,2
AT3G23280,1.14,6.61836E-26,8.74417E-22,2
AT2G28760,1.14,1.21872E-18,1.61017E-14,2
AT5G07910,1.14,4.84451E-22,6.40057E-18,2
AT1G23080,1.13,9.0454E-25,1.19508E-20,2
AT5G02750,1.13,5.64272E-18,7.45516E-14,2
AT4G27260,1.13,1.17348E-11,1.5504E-07,2
AT1G70940,1.12,1.34004E-12,1.77047E-08,2
AT2G45790,1.12,4.17144E-17,5.51131E-13,2
AT5G15490,1.12,2.75796E-11,3.64382E-07,2
AT3G04120,1.10,1.38697E-29,1.83247E-25,2
AT1G54000,1.09,5.39582E-09,7.12896E-05,2
AT3G11660,1.09,7.57893E-15,1.00133E-10,2
AT1G56280,1.09,7.97603E-34,1.05379E-29,2
AT3G50530,1.09,2.27562E-21,3.00655E-17,2
AT1G06040,1.08,5.30174E-23,7.00466E-19,2
AT3G51240,1.08,6.0113E-15,7.94213E-11,2
AT3G01860,1.08,2.51028E-17,3.31658E-13,2
AT5G39570,1.07,3.85503E-28,5.09326E-24,2
AT4G16520,1.06,8.80532E-20,1.16336E-15,2
AT3G14690,1.05,5.94259E-16,7.85136E-12,2
AT1G23190,1.05,1.46551E-23,1.93623E-19,2
AT2G40470,1.05,7.21413E-12,9.53131E-08,2
AT2G40475,1.05,1.46737E-13,1.93869E-09,2
AT3G60650,1.05,3.63723E-13,4.80551E-09,2
AT3G52440,1.05,6.50202E-16,8.59047E-12,2
AT2G01850,1.04,6.54447E-17,8.64655E-13,2
AT5G08050,1.04,1.00347E-17,1.32579E-13,2
AT3G05200,1.04,1.77117E-16,2.34007E-12,2
AT5G15190,1.04,2.02934E-13,2.68117E-09,2
AT2G36320,1.02,1.5424E-10,2.03782E-06,2
AT2G22770,1.02,1.04497E-13,1.38061E-09,2
AT5G03240,1.01,6.94088E-10,9.17029E-06,2
AT5G08590,1.01,3.82032E-26,5.04741E-22,2
AT5G10830,1.00,5.08489E-11,6.71816E-07,2
AT2G22420,1.00,2.07809E-12,2.74557E-08,2
AT5G60850,1.00,1.68497E-16,2.22618E-12,2
AT3G51730,1.00,2.37654E-16,3.13988E-12,2
AT5G48130,0.99,7.50086E-17,9.91013E-13,2
AT3G18230,0.99,1.01076E-18,1.33541E-14,2
AT2G16700,0.99,2.68431E-25,3.54651E-21,2
AT1G53210,0.99,2.85347E-21,3.77001E-17,2
AT1G55210,0.98,2.90354E-08,0.000383615,2
AT5G21090,0.98,3.94061E-20,5.20633E-16,2
AT5G04830,0.97,3.73694E-21,4.93725E-17,2
AT3G12490,0.96,2.9338E-22,3.87614E-18,2
AT1G72180,0.95,1.12689E-15,1.48884E-11,2
AT2G44770,0.95,3.94111E-20,5.20699E-16,2
AT3G54400,0.95,8.1333E-12,1.07457E-07,2
AT4G24760,0.95,5.14939E-15,6.80338E-11,2
AT1G66180,0.95,6.62281E-13,8.75005E-09,2
AT1G30110,0.94,6.31929E-14,8.34905E-10,2
AT5G07550,0.94,9.19516E-10,1.21486E-05,2
AT1G22030,0.94,2.26975E-11,2.99879E-07,2
AT3G08590,0.94,9.12075E-18,1.20503E-13,2
