"","Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10","Cluster11","Cluster12","Cluster13","Cluster14","Cluster15","Cluster16","Cluster17","Cluster18","Cluster19","Cluster20","Cluster21","Cluster22"
"90","0","AT3G01070","0","AT4G27290","AT3G50410","AT2G37760","AT1G13270","AT4G27990","AT5G58360","AT5G60210","0","AT5G25110","AT5G57770","AT4G25730","AT5G45440","0","0","AT1G32190","AT5G21482","AT5G56530","0","AT5G12950","0"
"91","0","AT5G39080","0","AT5G45840","AT3G47540","AT2G38970","AT4G38370","AT2G22920","AT4G29800","AT1G69920","0","AT3G56380","AT3G55890","AT1G06930","AT1G11530","0","0","AT4G22250","AT3G62070","AT4G37540","0","AT4G26220","0"
"92","0","AT4G34160","0","AT3G26500","AT3G16170","AT2G23950","AT5G42330","AT2G12462","AT5G61650","AT5G53320","0","AT5G06870","AT5G14510","AT1G29320","AT3G61610","0","0","AT1G71140","AT1G04180","AT2G31980","0","AT3G14170","0"
"93","0","AT3G61898","0","AT4G11230","AT5G57280","AT3G24660","AT1G20816","AT3G56620","AT1G79330","AT3G32030","0","AT1G22550","AT5G42710","AT1G31660","AT3G15340","0","0","AT5G15550","AT5G13880","AT1G60390","0","AT5G42210","0"
"94","0","AT4G30610","0","AT3G51330","AT2G40750","AT1G56210","AT5G20130","AT2G42150","AT4G25160","AT4G37000","0","AT4G12530","AT1G15960","AT5G53900","AT3G22060","0","0","AT2G43600","AT1G60030","AT5G47720","0","AT5G45020","0"
"95","0","AT3G23880","0","AT1G18773","AT2G04795","AT4G15660","AT3G06450","AT1G10360","AT2G22290","AT1G13250","0","AT5G56040","AT4G14740","AT2G27590","AT1G61170","0","0","AT1G50060","AT1G74055","AT3G44220","0","AT5G02090","0"
"96","0","AT5G04970","0","AT5G38710","AT1G55740","AT4G15140","AT3G24660","AT5G57565","AT2G27220","AT5G38970","0","AT5G20410","AT4G14940","AT4G28200","AT3G25905","0","0","AT4G21902","AT2G37590","AT2G02230","0","AT2G05910","0"
"97","0","AT1G31950","0","AT2G29950","AT1G28360","AT3G44940","AT5G35450","AT5G53990","AT2G38100","AT1G14280","0","AT3G11260","AT3G62020","AT3G13160","AT5G51560","0","0","AT3G04330","AT5G56780","AT4G22780","0","AT5G14510","0"
"98","0","AT3G59440","0","AT2G03980","AT3G27030","AT5G07310","AT5G09240","AT3G22235","AT5G13150","AT5G18260","0","AT2G19580","AT3G44730","AT2G43650","AT1G05590","0","0","0","AT5G42720","AT1G16310","0","AT5G45970","0"
"99","0","AT4G38410","0","AT1G25240","AT3G20810","AT4G36930","AT4G14740","AT2G42760","AT5G43230","AT5G67280","0","AT3G06868","AT5G24510",NA,"AT3G46320","0","0","0","AT1G29520","AT5G07310","0","AT1G12260","0"
"100","0","AT1G02430","0","AT4G25190","AT5G16040","AT5G43860","AT2G14880","AT1G06645","AT5G41761","AT3G50300","0","AT5G50740","AT5G12870","AT5G02820","AT5G06870","0","0","0","AT4G20040","AT1G78530","0","AT1G29200","0"
"101","0","AT1G15170","0","AT1G72200","AT2G37020","AT1G53163","AT2G02100","AT2G02080","AT3G55150","AT1G56020","0","AT3G45430","AT1G20850","AT5G39550","AT1G45207","0","0","0","AT4G27520","AT3G30580","0","AT1G31990","0"
"102","0","AT5G22570","0","AT4G40010","AT2G13660","AT5G23360","AT3G23700","AT4G14940","AT2G16760","AT3G21620","0","AT1G13250","AT4G35350","AT5G41190","AT5G57920","0","0","0","AT3G43790","AT4G34300","0","AT5G04200","0"
"103","0","AT3G14362","0","AT5G56160","AT5G05160","AT1G80520","AT3G02650","AT3G27270","AT1G16410","AT5G65400","0","AT1G09080","AT5G45970","AT5G19300","AT3G12970","0","0","0","AT5G37660","AT5G26730","0","AT4G32450","0"
"104","0","AT2G38940","0","AT5G19790","AT5G07680","AT5G64690","AT3G11620","AT5G17890","AT1G18420","AT4G25480","0","AT1G06930","AT1G49880","AT4G16630","AT5G07340","0","0","0","AT5G62940","AT1G68130","0","AT1G26820","0"
"105","0","AT4G23750","0","AT5G07770","AT1G07220","AT1G23080","AT3G59890","AT2G16970","AT5G61550","AT1G29530","0","AT2G42850","AT2G01950","AT3G04770","AT1G22550","0","0","0","AT5G02750","AT4G36740","0","AT3G52900","0"
"106","0","AT4G10500","0","AT3G14470","AT5G44005","AT1G09460","AT4G35050","AT5G34940","AT4G20450","AT1G80280","0","AT2G14820","AT5G26670","AT1G80720","AT1G23410","0","0","0","AT5G59080","AT5G59720","0","AT3G24535","0"
"107","0","AT5G53900","0","AT4G25090","AT3G02510","AT1G32970","AT3G11150","AT4G23880","AT2G34655","AT1G76470","0","AT4G25780","AT3G45960","AT3G49990","AT2G28720","0","0","0","AT2G19590","AT5G40960","0","AT3G52820","0"
"108","0","0","0","AT4G21745","AT5G23690","AT5G54130","AT1G11755",NA,"AT5G25810","AT2G16400","0","AT2G24600","AT2G37760","AT2G19530","AT1G18265","0","0","0","AT5G17980","AT1G73780","0","AT5G09480","0"
"109","0","0","0","AT4G12330","AT5G44160","AT1G61370",NA,"AT1G01340","AT4G07960","AT5G05830","0","AT1G32190","AT1G79760","AT4G25240","AT2G37790","0","0","0","AT5G67110","AT1G48750","0","AT4G28140","0"
"110","0","0","0","AT2G37670","AT5G18300","AT5G66815","AT1G43000","AT2G39360","AT1G61950","AT4G18020","0","AT3G56220","AT5G25840","AT4G36680","AT3G46940","0","0","0","AT4G03210","AT4G14740","0","AT1G62981","0"
"111","0","0","0","AT5G01640","AT2G35300","AT4G38660","AT1G60640","AT3G49320","AT1G65180","AT5G53750","0","AT5G10770","AT4G32830","AT3G09720","AT1G80190","0","0","0","AT5G05160","AT5G06730","0","AT1G72990","0"
"112","0","0","0","AT5G26080","AT3G13980","AT1G71830","AT1G47820","AT1G69920","AT5G25880","AT1G23090","0","AT3G06740","AT5G45020","AT3G22310","AT3G13674","0","0","0","AT2G40150","0","0","AT2G28250","0"
"113","0","0","0","AT1G12880","AT4G23493","AT5G40980","AT2G37230","0","AT1G18773","AT5G51990","0","AT3G32030","AT2G34060","AT1G60080","AT2G17070","0","0","0","AT4G16980","0","0","AT1G09890","0"
"114","0","0","0","AT5G35190","AT1G01640","AT3G20640","AT4G11120","0","AT4G25190","AT3G25640","0","AT5G63660","AT5G07800","AT3G46940","AT3G02820","0","0","0","AT3G25560","0","0","AT2G46760","0"
"115","0","0","0","AT2G39690","AT5G61560","AT3G49620","AT3G54180","0","AT1G63450","AT1G74930","0","AT1G15580","AT1G71695","AT1G64185","AT1G57820","0","0","0","AT1G32970","0","0","AT2G39710","0"
"116","0","0","0","AT4G14280","AT2G31083","AT4G39190","AT2G23950","0","AT2G29620","AT1G60470","0","0","AT3G16500","AT1G06790","0","0","0","0","AT3G63050","0","0","AT5G03170","0"
"117","0","0","0","AT3G07195","AT3G25640","AT4G16980","AT4G28450","0","AT3G03800","0","0","0","AT3G14170","AT5G22100","0","0","0","0","AT5G13290","0","0","AT1G73410","0"
"118","0","0","0","AT1G63410","0","AT1G48000","AT3G23710","0","AT2G37370","0","0","0","AT4G12980","AT5G49560","0","0","0","0","AT1G54330","0","0","AT2G41700","0"
"119","0","0","0","AT4G29850","0","AT3G47510","AT1G55740","0","AT2G31220","0","0","0","AT3G44220","AT4G38890","0","0","0","0","AT1G74720","0","0","AT3G01860","0"
